timestamp_ms,altitude_m,ax_mps2,ay_mps2,az_mps2,gx_dps,gy_dps,gz_dps
1992,-0.05,0.709,-0.187,9.558,-0.14,0.09,0.02
2032,-0.16,0.785,-0.086,9.596,-0.08,-0.03,0.02
2072,-0.18,0.804,-0.177,9.538,0.10,0.09,0.02
2112,-0.18,0.761,-0.129,9.615,-0.08,-0.03,-0.10
2152,-0.16,0.761,-0.158,9.538,0.10,-0.15,-0.04
2192,-0.16,0.752,-0.182,9.524,-0.02,-0.09,-0.10
2232,-0.18,0.757,-0.192,9.562,-0.02,-0.15,0.08
2272,-0.12,0.761,-0.196,9.606,-0.02,-0.03,-0.10
2312,-0.12,0.781,-0.139,9.572,0.04,0.03,0.08
2352,-0.18,0.795,-0.172,9.524,-0.08,-0.03,0.02
2392,-0.18,0.814,-0.172,9.606,0.04,-0.15,-0.04
2432,-0.25,0.757,-0.163,9.606,-0.14,-0.03,-0.04
2472,-0.19,0.838,-0.192,9.548,-0.02,0.15,0.02
2512,-0.31,0.848,-0.139,9.601,-0.14,-0.09,0.08
2552,-0.31,0.857,-0.163,9.582,0.10,-0.03,-0.04
2592,-0.31,0.737,-0.168,9.548,0.04,-0.09,-0.04
2632,-0.36,0.795,-0.158,9.625,0.10,-0.09,0.02
2672,-0.19,0.857,-0.120,9.596,-0.02,0.03,0.08
2712,-0.13,0.804,-0.172,9.606,0.10,-0.03,0.32
2752,-0.08,0.848,-0.163,9.615,-0.20,0.03,0.14
2792,-0.13,0.776,-0.168,9.601,-0.02,-0.15,0.14
2832,-0.13,0.828,-0.177,9.572,0.10,-0.15,0.14
2872,-0.19,0.800,-0.196,9.572,-0.02,0.03,0.14
2912,-0.19,0.819,-0.163,9.558,-0.14,-0.03,-0.04
2952,-0.19,0.814,-0.124,9.582,-0.02,0.03,0.02
2992,-0.13,0.766,-0.139,9.615,-0.14,0.03,0.14
3032,-0.15,0.776,-0.235,9.629,-0.02,-0.15,-0.22
3072,0.08,0.795,-0.158,9.562,-0.02,-0.03,0.14
3112,-0.05,0.747,-0.153,9.515,0.17,0.15,-0.04
3152,-0.05,0.771,-0.153,9.548,0.10,0.03,0.02
3192,-0.16,0.766,-0.182,9.658,-0.08,-0.03,0.08
3232,-0.22,0.752,-0.124,9.596,0.04,0.03,0.08
3272,-0.11,0.785,-0.153,9.572,-0.08,-0.15,-0.04
3312,-0.09,0.781,-0.192,9.577,0.04,-0.22,0.08
3352,-0.22,0.776,-0.158,9.538,-0.02,-0.03,-0.04
3392,-0.11,0.737,-0.124,9.625,-0.20,-0.03,0.08
3432,-0.16,0.814,-0.124,9.639,-0.08,-0.03,0.20
3472,-0.05,0.838,-0.168,9.610,-0.14,-0.03,0.02
3512,-0.11,0.833,-0.163,9.639,-0.02,0.15,-0.04
3552,-0.09,0.776,-0.148,9.639,0.04,-0.03,0.08
3592,-0.16,0.761,-0.182,9.601,0.04,-0.03,0.02
3632,-0.18,0.752,-0.168,9.548,-0.02,0.09,0.14
3672,-0.11,0.876,-0.187,9.562,0.04,-0.03,-0.04
3712,-0.05,0.804,-0.158,9.538,-0.08,-0.03,0.02
3752,-0.05,0.733,-0.134,9.471,-0.08,-0.09,-0.10
3792,0.07,0.733,-0.196,9.558,0.04,-0.15,-0.16
3832,-0.05,0.814,-0.153,9.625,-0.08,-0.09,0.14
3872,0.07,0.838,-0.120,9.639,-0.02,-0.03,-0.10
3912,-0.12,0.838,-0.201,9.596,0.04,-0.03,-0.04
3952,-0.11,0.757,-0.139,9.577,-0.02,0.09,0.08
3992,-0.12,0.843,-0.115,9.610,-0.14,0.09,-0.04
4032,-0.16,0.828,-0.120,9.486,0.04,-0.28,0.14
4072,-0.06,0.809,-0.168,9.481,0.10,-0.03,0.02
4112,0.05,0.800,-0.115,9.653,-0.08,0.03,0.02
4152,-0.02,0.795,-0.144,9.629,-0.08,0.03,-0.04
4192,-0.02,0.828,-0.172,9.658,0.04,0.09,0.02
4232,0.11,0.776,-0.134,9.606,0.10,0.03,-0.04
4272,-0.02,0.819,-0.115,9.519,-0.08,-0.15,0.20
4312,-0.06,0.833,-0.158,9.577,0.04,-0.03,-0.04
4352,-0.06,0.876,-0.201,9.673,-0.02,0.21,0.02
4392,-0.02,0.790,-0.196,9.577,-0.08,-0.03,0.02
4432,0.11,0.819,-0.129,9.515,-0.08,-0.15,-0.04
4472,0.17,0.776,-0.148,9.586,-0.02,-0.22,-0.04
4512,0.10,0.747,-0.115,9.653,0.10,-0.03,-0.16
4552,0.28,0.785,-0.168,9.606,0.04,0.03,-0.04
4592,0.10,0.790,-0.120,9.515,-0.08,0.03,-0.04
4632,0.22,0.761,-0.096,9.596,0.10,-0.03,-0.04
4672,0.28,0.781,-0.225,9.491,0.10,0.03,0.02
4712,0.22,0.795,-0.182,9.629,-0.02,-0.03,-0.10
4752,0.10,0.857,-0.134,9.653,-0.08,0.09,0.02
4792,0.21,0.809,-0.187,9.620,0.10,0.09,-0.04
4832,0.27,0.804,-0.153,9.577,-0.02,0.09,-0.10
4872,0.08,0.819,-0.187,9.577,-0.02,0.09,-0.04
4912,0.10,0.742,-0.072,9.606,-0.08,-0.09,0.08
4952,-0.07,0.771,-0.096,9.543,0.04,-0.03,-0.10
4992,-0.02,0.790,-0.077,9.491,0.04,0.09,0.08
5032,0.04,0.819,-0.148,9.510,-0.14,-0.03,0.26
5072,-0.04,0.771,-0.129,9.620,-0.08,0.09,0.20
5112,0.08,0.800,-0.124,9.754,-0.08,-0.03,-0.10
5152,0.03,0.819,-0.158,9.519,0.04,-0.09,0.14
5192,0.03,0.814,-0.206,9.515,0.10,-0.03,-0.10
5232,-0.04,0.795,-0.172,9.567,-0.02,0.15,0.02
5272,0.04,0.804,-0.134,9.629,0.04,-0.15,0.02
5312,0.10,0.819,-0.163,9.629,0.04,-0.09,0.02
5352,0.08,0.761,-0.187,9.653,-0.02,-0.09,-0.16
5392,0.04,0.771,-0.134,9.668,-0.02,0.03,0.20
5432,0.16,0.804,-0.192,9.562,-0.08,-0.09,0.08
5472,0.27,0.804,-0.101,9.558,-0.02,-0.09,0.14
5512,0.20,0.795,-0.163,9.567,-0.02,-0.03,0.08
5552,0.16,0.800,-0.215,9.610,-0.14,-0.03,-0.10
5592,0.14,0.795,-0.144,9.529,-0.02,-0.03,-0.04
5632,0.08,0.800,-0.196,9.548,0.04,-0.03,0.08
5672,0.08,0.843,-0.120,9.634,-0.08,-0.03,0.02
5712,0.04,0.809,-0.177,9.567,-0.14,0.03,-0.04
5752,-0.05,0.757,-0.225,9.606,-0.08,-0.09,0.02
5792,0.08,0.723,-0.144,9.515,-0.08,0.15,0.08
5832,0.18,0.776,-0.139,9.515,-0.14,0.03,-0.10
