timestamp_ms,altitude_m,ax_mps2,ay_mps2,az_mps2,gx_dps,gy_dps,gz_dps
1998,0.06,0.771,-0.177,9.505,0.01,0.18,-0.33
2038,0.17,0.785,-0.211,9.572,-0.12,-0.07,-0.27
2078,0.18,0.814,-0.196,9.567,0.07,0.18,-0.33
2118,0.23,0.848,-0.172,9.491,-0.06,-0.19,-0.45
2158,0.29,0.814,-0.187,9.601,0.07,-0.01,-0.39
2198,0.30,0.766,-0.215,9.615,0.13,-0.01,-0.45
2238,0.29,0.790,-0.177,9.500,0.13,-0.13,-0.21
2278,0.29,0.790,-0.201,9.610,-0.18,-0.07,-0.33
2318,0.16,0.862,-0.235,9.548,0.01,-0.07,-0.39
2358,0.16,0.833,-0.134,9.500,0.01,-0.07,-0.33
2398,0.08,0.785,-0.192,9.586,0.19,-0.19,-0.45
2438,0.27,0.819,-0.211,9.534,0.07,-0.13,-0.39
2478,0.26,0.819,-0.182,9.606,0.01,0.12,-0.45
2518,0.27,0.848,-0.182,9.572,0.19,0.12,-0.39
2558,0.14,0.828,-0.144,9.572,0.13,-0.13,-0.27
2598,0.20,0.757,-0.235,9.697,0.01,0.06,-0.21
2638,0.40,0.771,-0.192,9.558,0.07,-0.01,-0.33
2678,0.26,0.852,-0.201,9.538,0.19,-0.19,-0.21
2718,0.14,0.804,-0.230,9.476,-0.12,0.06,-0.33
2758,0.08,0.776,-0.187,9.524,0.19,0.24,-0.51
2798,0.14,0.814,-0.259,9.586,-0.06,0.18,-0.21
2838,0.20,0.776,-0.215,9.629,-0.12,-0.07,-0.94
2878,0.20,0.747,-0.057,9.538,0.01,-0.07,-1.06
2918,0.20,0.747,-0.235,9.582,0.01,0.06,-0.63
2958,0.08,0.757,-0.115,9.558,-0.12,0.12,-0.57
2998,0.03,0.795,-0.206,9.553,-0.06,-0.13,-0.51
3038,0.08,0.752,-0.206,9.543,-0.12,0.06,-0.27
3078,0.14,0.809,-0.168,9.486,0.13,-0.07,-0.39
3118,0.20,0.833,-0.259,9.572,-0.24,-0.01,-0.45
3158,0.14,0.833,-0.211,9.543,0.01,-0.19,-0.33
3198,0.20,0.862,-0.239,9.606,0.01,-0.07,-0.51
3238,0.18,0.814,-0.206,9.562,0.13,-0.01,-0.45
3278,0.13,0.809,-0.172,9.610,0.01,-0.01,-0.39
3318,0.13,0.838,-0.182,9.668,-0.06,0.06,-0.39
3358,0.26,0.804,-0.148,9.615,0.07,-0.13,-0.45
3398,0.26,0.742,-0.182,9.495,-0.06,-0.31,-0.39
3438,0.14,0.723,-0.124,9.591,0.07,-0.07,-0.45
3478,0.01,0.800,-0.196,9.558,0.19,-0.25,-0.45
3518,0.18,0.838,-0.177,9.591,-0.06,-0.01,-0.33
3558,0.30,0.819,-0.148,9.610,-0.12,-0.01,-0.21
3598,0.24,0.790,-0.220,9.558,0.07,0.06,-0.33
3638,0.13,0.833,-0.225,9.481,0.13,-0.01,-0.27
3678,0.13,0.867,-0.225,9.629,0.01,-0.13,-0.39
3718,0.30,0.852,-0.283,9.582,0.25,0.12,-0.39
3758,0.24,0.790,-0.182,9.596,0.07,-0.01,-0.33
3798,0.05,0.804,-0.163,9.668,0.19,-0.07,-0.39
3838,0.18,0.848,-0.278,9.572,0.13,0.06,-0.39
3878,0.30,0.838,-0.215,9.553,-0.06,0.06,-0.27
3918,0.22,0.800,-0.187,9.529,0.07,0.06,-0.33
3958,0.30,0.800,-0.230,9.553,0.25,-0.07,-0.39
3998,0.13,0.804,-0.220,9.543,0.01,-0.07,-0.27
4038,0.05,0.809,-0.215,9.495,0.07,0.06,-0.39
4078,0.17,0.871,-0.268,9.591,-0.06,-0.07,-0.21
4118,0.22,0.814,-0.230,9.582,0.07,-0.07,-0.33
4158,0.17,0.785,-0.230,9.567,0.01,-0.01,-0.39
4198,0.22,0.776,-0.225,9.572,0.13,-0.31,-0.45
4238,0.16,0.876,-0.201,9.471,-0.18,0.12,-0.27
4278,0.21,0.790,-0.225,9.495,0.01,-0.01,-0.33
4318,0.16,0.852,-0.215,9.567,0.13,-0.07,-0.33
4358,0.16,0.785,-0.225,9.553,0.13,0.12,-0.33
4398,0.10,0.790,-0.192,9.519,-0.06,-0.19,-0.33
4438,0.21,0.814,-0.187,9.582,-0.12,-0.01,-0.21
4478,0.27,0.857,-0.211,9.529,0.07,-0.13,-0.21
4518,0.27,0.790,-0.144,9.625,-0.06,0.06,-0.27
4558,0.08,0.819,-0.187,9.543,-0.06,0.06,-0.45
4598,0.21,0.838,-0.129,9.553,0.13,-0.19,-0.45
4638,0.27,0.804,-0.215,9.476,0.01,-0.13,-0.27
4678,0.27,0.795,-0.187,9.505,-0.06,-0.01,-0.45
4718,0.14,0.848,-0.225,9.591,0.01,-0.07,-0.39
4758,0.20,0.771,-0.215,9.548,-0.12,0.06,-0.21
4798,0.08,0.804,-0.206,9.438,0.01,-0.07,-0.27
4838,0.14,0.848,-0.254,9.538,0.07,-0.01,-0.27
4878,0.25,0.795,-0.182,9.577,0.07,-0.01,-0.39
4918,0.03,0.776,-0.230,9.577,-0.06,-0.07,-0.39
4958,-0.04,0.862,-0.187,9.567,-0.12,-0.13,-0.27
4998,-0.05,0.814,-0.263,9.495,-0.06,-0.19,-0.15
5038,-0.05,0.867,-0.230,9.591,0.13,-0.13,-0.39
5078,0.16,0.819,-0.235,9.491,0.07,-0.01,-0.33
5118,0.14,0.852,-0.201,9.510,-0.06,-0.01,-0.57
5158,0.14,0.804,-0.201,9.582,0.19,-0.01,-0.27
5198,0.07,0.814,-0.254,9.553,0.01,-0.01,-0.27
5238,0.13,0.752,-0.192,9.548,0.01,0.12,-0.21
5278,0.13,0.781,-0.187,9.586,-0.24,-0.07,-0.39
5318,0.18,0.824,-0.249,9.591,-0.06,0.06,-0.33
5358,0.13,0.771,-0.225,9.572,0.13,0.18,-0.33
5398,0.20,0.766,-0.235,9.591,0.01,0.12,-0.33
5438,0.07,0.910,-0.182,9.596,0.01,-0.01,-0.27
5478,0.25,0.828,-0.172,9.553,0.01,-0.07,-0.33
5518,0.27,0.819,-0.211,9.567,0.01,-0.01,-0.27
5558,0.25,0.838,-0.215,9.706,0.01,-0.19,-0.63
5598,0.20,0.790,-0.139,9.567,-0.12,-0.01,-0.57
5638,0.25,0.824,-0.153,9.606,0.13,-0.13,-0.39
5678,0.25,0.867,-0.268,9.534,-0.18,-0.01,-0.45
5718,0.13,0.790,-0.206,9.615,0.07,-0.13,-0.45
5758,0.05,0.795,-0.192,9.615,-0.06,-0.07,-0.70
5798,0.28,0.809,-0.235,9.543,0.01,0.06,-0.51
5838,0.30,0.848,-0.206,9.601,0.13,-0.31,-0.45
5878,0.17,0.843,-0.134,9.601,0.01,-0.01,-0.39
5918,0.18,0.828,-0.263,9.500,-0.06,-0.07,-0.15
5958,0.36,0.814,-0.239,9.553,0.01,0.18,-0.33
5998,0.28,0.824,-0.211,9.572,0.13,-0.01,-0.09
6038,0.34,0.785,-0.201,9.620,0.01,0.12,-0.27
6078,0.30,0.790,-0.235,9.567,0.07,0.06,-0.63
6118,0.17,0.809,-0.211,9.567,-0.12,-0.07,-0.27
6158,0.41,0.814,-0.263,9.615,0.07,-0.01,-0.33
6198,0.45,0.737,-0.225,9.577,-0.06,-0.07,-0.51
6238,0.27,0.776,-0.211,9.524,0.07,-0.13,-0.27
6278,0.32,0.781,-0.187,9.558,-0.12,-0.07,-0.33
6318,0.21,0.833,-0.235,9.534,-0.24,-0.07,-0.33
6358,0.21,0.848,-0.302,9.720,-2.37,2.86,-0.63
6398,0.41,0.594,-0.225,9.658,-0.67,0.67,-5.70
6438,0.39,-0.158,0.297,9.141,0.37,-0.25,-29.60
6478,0.27,1.010,-0.436,9.577,0.43,0.12,-24.11
