timestamp_ms,altitude_m,ax_mps2,ay_mps2,az_mps2,gx_dps,gy_dps,gz_dps
2447,-0.24,0.761,-0.144,9.577,0.18,-0.05,-0.15
2487,-0.24,0.862,-0.153,9.543,0.18,-0.24,0.03
2527,-0.19,0.814,-0.201,9.649,0.18,0.01,-0.03
2567,-0.36,0.848,-0.110,9.606,0.06,-0.05,-0.03
2607,-0.24,0.804,-0.172,9.577,-0.07,-0.11,-0.03
2647,-0.36,0.871,-0.196,9.567,-0.01,0.19,0.03
2688,-0.30,0.876,-0.244,9.586,-0.13,-0.05,-0.03
2727,-0.19,0.838,-0.235,9.629,0.18,0.01,0.09
2767,-0.24,0.795,-0.230,9.639,0.06,-0.18,-0.03
2807,-0.19,0.781,-0.201,9.601,-0.07,0.13,-0.03
2847,-0.13,0.848,-0.268,9.515,-0.01,0.07,-0.09
2887,-0.08,0.800,-0.211,9.673,-0.01,0.07,0.03
2927,-0.08,0.828,-0.144,9.639,-0.01,0.19,0.15
2967,-0.20,0.852,-0.230,9.610,-0.01,0.01,-0.03
3007,-0.07,0.905,-0.215,9.663,-0.01,0.07,0.09
3047,-0.14,0.800,-0.244,9.515,-0.07,-0.05,-0.09
3087,-0.08,0.752,-0.215,9.658,0.06,0.19,0.03
3127,-0.20,0.800,-0.225,9.610,-0.07,0.07,0.03
3167,-0.14,0.828,-0.192,9.653,-0.01,-0.18,-0.03
3207,-0.16,0.824,-0.187,9.606,0.06,0.13,-0.15
3247,-0.22,0.838,-0.235,9.577,0.06,0.07,0.03
3287,-0.08,0.752,-0.158,9.692,-0.07,0.01,0.03
3328,-0.27,0.828,-0.201,9.601,-0.01,0.25,0.03
3367,-0.27,0.824,-0.163,9.634,-0.01,0.19,0.09
3407,-0.16,0.814,-0.177,9.591,-0.07,-0.24,0.03
3447,-0.22,0.857,-0.220,9.629,-0.07,0.01,0.27
3487,-0.20,0.828,-0.139,9.586,-0.07,0.19,0.03
3527,-0.26,0.819,-0.206,9.582,0.18,-0.11,0.15
3567,-0.27,0.838,-0.182,9.615,0.12,-0.05,0.09
3607,-0.34,0.881,-0.158,9.615,0.06,0.07,-0.09
3647,-0.29,0.857,-0.244,9.567,-0.07,0.07,-0.03
3687,-0.29,0.848,-0.187,9.601,0.06,0.07,-0.09
3727,-0.34,0.876,-0.220,9.534,0.18,-0.11,0.03
3767,-0.23,0.824,-0.177,9.586,0.12,0.01,0.03
3807,-0.17,0.824,-0.196,9.677,-0.07,0.01,0.09
3847,-0.12,0.857,-0.172,9.668,-0.01,0.01,0.03
3887,-0.12,0.871,-0.225,9.538,-0.07,0.07,-0.21
3927,-0.24,0.857,-0.172,9.558,0.06,0.31,-0.03
3968,-0.29,0.800,-0.182,9.534,0.12,-0.11,-0.03
4007,-0.23,0.867,-0.148,9.673,-0.19,0.07,-0.21
4047,-0.29,0.838,-0.192,9.553,0.18,0.01,-0.15
4087,-0.24,0.804,-0.239,9.658,0.12,-0.05,-0.03
4127,-0.30,0.843,-0.192,9.553,0.18,-0.05,-0.03
4167,-0.30,0.824,-0.211,9.701,0.06,0.07,0.09
4207,-0.24,0.809,-0.254,9.534,-0.19,0.07,0.15
4247,-0.30,0.838,-0.192,9.462,0.12,0.13,-0.03
4287,-0.30,0.848,-0.239,9.653,-0.19,0.13,0.03
4327,-0.41,0.867,-0.192,9.668,-0.07,-0.11,-0.03
4367,-0.35,0.895,-0.220,9.625,0.06,0.13,0.09
4407,-0.35,0.828,-0.177,9.558,0.12,0.13,-0.09
4447,-0.30,0.843,-0.230,9.572,0.18,0.07,-0.09
4487,-0.44,0.814,-0.177,9.529,0.12,0.19,0.03
4527,-0.44,0.867,-0.158,9.620,0.06,0.07,0.15
4567,-0.32,0.824,-0.158,9.529,-0.01,0.07,0.03
4608,-0.37,0.871,-0.225,9.562,-0.01,0.07,0.09
4647,-0.32,0.857,-0.144,9.601,0.18,0.01,0.15
4687,-0.33,0.800,-0.220,9.548,0.06,0.01,-0.09
4727,-0.33,0.843,-0.187,9.629,0.06,-0.11,-0.09
4767,-0.33,0.828,-0.235,9.562,-0.01,0.13,-0.09
4807,-0.27,0.848,-0.139,9.572,-0.13,0.07,0.03
4847,-0.40,0.924,-0.215,9.673,-0.01,0.13,-0.09
4887,-0.40,0.804,-0.148,9.697,-0.01,-0.05,-0.03
4927,-0.34,0.838,-0.206,9.553,-0.01,-0.18,-0.03
4967,-0.23,0.809,-0.196,9.601,-0.01,0.07,0.09
5007,-0.29,0.800,-0.235,9.558,-0.07,0.07,-0.15
5047,-0.17,0.848,-0.225,9.596,0.06,-0.05,0.09
5087,-0.30,0.809,-0.201,9.596,0.18,0.07,0.03
5127,-0.18,0.814,-0.139,9.601,-0.13,0.19,0.09
5167,-0.18,0.814,-0.153,9.615,-0.07,0.01,-0.09
5207,-0.12,0.776,-0.187,9.673,-0.07,-0.11,0.09
5248,-0.23,0.852,-0.239,9.582,-0.01,0.07,-0.03
5287,-0.12,0.824,-0.153,9.658,-0.07,0.07,0.03
5327,-0.06,0.828,-0.263,9.572,0.06,0.07,-0.09
5367,-0.18,0.819,-0.158,9.610,0.12,0.07,-0.03
5407,0.00,0.795,-0.225,9.591,-0.07,0.01,0.03
5447,0.06,0.833,-0.254,9.682,0.06,0.01,-0.15
5487,-0.13,0.881,-0.206,9.620,0.06,0.01,0.03
5527,-0.23,0.857,-0.225,9.591,-0.01,0.01,-0.03
5567,-0.24,0.828,-0.153,9.634,0.06,0.07,0.09
5607,-0.24,0.809,-0.201,9.562,-0.07,-0.05,-0.03
5647,-0.26,0.790,-0.172,9.538,0.06,0.07,0.03
5687,-0.14,0.785,-0.225,9.577,0.06,0.01,-0.03
5727,-0.01,0.852,-0.158,9.606,0.30,0.19,-0.09
5767,0.05,0.781,-0.206,9.452,-0.01,0.19,0.03
5807,-0.08,0.833,-0.249,9.663,0.12,0.07,-0.09
5847,-0.03,0.781,-0.206,9.606,-0.01,-0.05,-0.03
5888,-0.03,0.814,-0.215,9.577,-0.01,0.07,0.15
5927,-0.14,0.828,-0.153,9.558,-0.01,0.13,0.03
5967,-0.16,0.848,-0.163,9.634,0.06,0.01,-0.09
6007,-0.27,0.781,-0.163,9.601,-0.07,0.13,-0.09
6047,-0.20,0.857,-0.239,9.586,-0.07,0.07,-0.03
6087,-0.16,0.857,-0.206,9.562,-0.13,0.07,0.03
6127,-0.16,0.843,-0.215,9.577,0.06,-0.18,0.09
6167,-0.23,0.809,-0.172,9.538,-0.13,0.07,0.09
6207,-0.23,0.843,-0.215,9.615,-0.07,0.01,-0.03
6247,-0.29,0.833,-0.196,9.615,0.12,0.01,-0.34
6287,-0.17,0.838,-0.168,9.629,0.06,0.01,0.15
6327,-0.23,0.828,-0.144,9.610,-0.19,0.07,0.03
6367,-0.23,0.824,-0.168,9.663,-0.01,-0.05,0.15
6407,-0.23,0.795,-0.177,9.562,0.12,-0.24,-0.15
6447,-0.17,0.814,-0.201,9.601,0.12,-0.05,0.21
6487,-0.23,0.843,-0.163,9.543,0.06,0.07,-0.03
6528,-0.25,0.824,-0.201,9.562,0.06,0.13,-0.09
6567,-0.13,0.828,-0.163,9.629,0.12,0.13,0.21
6607,-0.19,0.862,-0.196,9.677,-0.01,-0.05,-0.15
6647,-0.29,0.857,-0.163,9.615,-0.19,0.01,0.09
6687,-0.34,0.833,-0.182,9.639,0.06,-0.05,-0.03
6727,-0.19,0.852,-0.163,9.615,-0.07,0.19,-0.03
6767,-0.32,0.824,-0.187,9.586,-0.19,0.01,-0.09
6807,-0.19,0.838,-0.182,9.586,-0.07,-0.11,0.15
6847,-0.19,0.843,-0.177,9.562,0.06,0.13,-0.03
6887,-0.20,0.843,-0.244,9.625,-0.19,0.13,0.09
6927,-0.14,0.833,-0.148,9.534,0.06,0.13,-0.03
6967,-0.13,0.804,-0.172,9.548,-0.07,0.01,-0.15
7007,-0.07,0.766,-0.249,9.601,0.12,-0.18,-0.03
7047,0.04,0.804,-0.196,9.658,-0.01,-0.18,0.09
7087,-0.07,0.828,-0.172,9.644,-0.07,-0.05,-0.03
7127,-0.02,0.848,-0.201,9.673,-0.01,-0.24,0.03
7168,-0.07,0.819,-0.187,9.601,-0.13,-0.11,0.09
7207,-0.38,0.795,-0.182,9.553,0.06,0.07,0.15
7247,-0.19,0.833,-0.230,9.586,-0.01,0.01,-0.03
7287,-0.07,0.833,-0.239,9.572,0.12,0.19,-0.15
7327,-0.13,0.852,-0.235,9.553,0.12,-0.05,-0.15
7367,-0.19,0.814,-0.220,9.591,-0.07,0.01,0.15
7407,-0.13,0.819,-0.201,9.572,0.06,0.07,-0.09
7447,-0.20,0.824,-0.211,9.591,0.12,-0.05,-0.09
7487,-0.20,0.814,-0.144,9.553,0.06,0.01,-0.03
7527,-0.14,0.871,-0.163,9.629,0.12,0.13,0.09
7567,-0.02,0.824,-0.192,9.591,-0.07,-0.11,-0.09
7607,-0.03,0.843,-0.225,9.567,-0.01,0.01,-0.09
7647,-0.14,0.843,-0.201,9.615,-0.07,0.01,-0.15
7687,-0.14,0.795,-0.153,9.601,0.06,0.01,-0.03
7727,-0.03,0.852,-0.201,9.558,-0.07,-0.30,0.09
7767,-0.07,0.848,-0.235,9.668,0.18,-0.05,0.09
7808,-0.08,0.814,-0.201,9.510,-0.07,0.07,0.03
7847,-0.14,0.814,-0.273,9.486,-0.01,0.07,0.03
7887,-0.39,0.867,-0.187,9.653,-0.01,0.01,0.03
7927,-0.26,0.848,-0.148,9.582,0.06,0.07,0.15
7967,-0.33,0.833,-0.235,9.515,-0.13,0.01,0.15
8007,-0.16,0.852,-0.211,9.629,-0.01,0.01,-0.15
8047,-0.08,0.838,-0.196,9.567,0.06,0.13,-0.03
8087,-0.16,0.843,-0.177,9.606,-0.07,0.01,0.15
8127,-0.27,0.814,-0.192,9.601,-0.01,-0.05,-0.03
8167,-0.14,0.871,-0.196,9.582,0.18,-0.11,-0.03
8207,-0.03,0.838,-0.182,9.625,0.12,0.07,-0.09
8247,-0.03,0.862,-0.215,9.567,-0.13,0.07,-0.03
8287,-0.03,0.828,-0.259,9.668,-0.07,0.01,0.21
8327,-0.16,0.838,-0.148,9.519,0.06,0.01,-0.03
8367,-0.22,0.766,-0.168,9.639,0.12,0.01,0.15
8407,-0.22,0.814,-0.211,9.615,-0.13,0.01,-0.03
8448,-0.17,0.800,-0.177,9.577,0.06,0.01,0.27
8487,-0.23,0.843,-0.134,9.586,-0.01,-0.05,0.03
8527,-0.12,0.857,-0.249,9.519,0.12,0.01,0.03
8567,-0.23,0.804,-0.196,9.558,-0.13,0.07,-0.03
8607,-0.23,0.843,-0.196,9.649,-0.01,0.07,0.15
8647,-0.12,0.862,-0.196,9.572,0.06,0.13,0.03
8687,-0.12,0.785,-0.292,9.620,0.12,0.07,0.03
8727,0.12,0.809,-0.192,9.596,-0.13,-0.05,0.09
8767,0.04,0.795,-0.254,9.577,-0.01,-0.05,-0.09
8807,0.06,0.852,-0.220,9.644,0.12,-0.11,-0.03
8847,0.17,0.790,-0.201,9.615,-0.01,-0.05,0.15
8887,0.23,0.833,-0.225,9.519,0.18,0.13,0.03
8927,0.17,0.843,-0.182,9.639,-0.01,0.07,-0.03
8967,0.12,0.824,-0.220,9.562,-0.07,0.13,0.09
9007,0.12,0.809,-0.215,9.558,0.06,-0.05,-0.03
9047,-0.07,0.809,-0.158,9.543,-0.07,-0.18,-0.03
9088,0.16,0.766,-0.211,9.639,0.06,0.19,0.21
9127,0.04,0.809,-0.192,9.610,0.30,0.07,-0.03
9167,-0.02,0.848,-0.206,9.567,0.12,-0.11,0.09
9207,-0.02,0.819,-0.235,9.606,0.06,0.07,-0.09
9247,-0.02,0.809,-0.215,9.639,0.06,-0.11,0.03
9287,0.04,0.867,-0.215,9.572,-0.01,0.13,0.03
9327,-0.08,0.848,-0.177,9.553,0.06,0.01,0.09
9367,-0.26,0.814,-0.196,9.567,-0.01,0.19,-0.15
9407,-0.14,0.819,-0.196,9.515,-0.13,0.07,-0.03
9447,-0.20,0.814,-0.153,9.620,-0.01,0.01,0.27
9487,-0.03,0.867,-0.153,9.606,0.18,0.07,0.27
9527,0.03,0.857,-0.187,9.658,-0.13,0.01,-0.15
9567,-0.03,0.852,-0.177,9.629,-0.07,0.19,-0.03
