timestamp_ms,altitude_m,ax_mps2,ay_mps2,az_mps2,gx_dps,gy_dps,gz_dps
6167,-0.17,0.862,-0.062,9.606,-5.98,0.61,0.61
6207,-0.23,0.905,0.024,9.529,-6.04,0.43,0.73
6247,-0.12,0.91,0,9.577,-6.1,0.37,0.79
6287,-0.23,0.939,0.029,9.562,-5.98,0.37,0.61
6327,-0.23,0.891,0.034,9.567,-6.04,0.24,0.67
6367,-0.17,0.905,0.024,9.529,-5.98,0.37,0.91
6407,-0.12,0.929,-0.062,9.677,-5.98,0.43,0.79
6447,-0.06,0.915,0.005,9.562,-5.98,0.24,0.55
6487,-0.12,0.867,0.043,9.606,-6.1,0.43,0.67
6528,-0.12,0.852,0.091,9.591,-5.91,0.37,0.85
6567,-0.06,0.895,0.024,9.62,-6.04,0.24,0.55
6607,-0.12,0.915,0.01,9.538,-6.1,0.55,0.85
6647,-0.13,0.905,-0.019,9.606,-6.04,0.43,0.55
6687,-0.07,0.91,-0.029,9.615,-5.91,0.49,0.73
6727,0.06,0.843,0.014,9.495,-6.1,0.49,0.91
6767,-0.07,0.953,0.029,9.548,-6.04,0.3,0.61
6807,-0.07,0.828,0.005,9.625,-6.1,0.3,0.85
6847,-0.07,0.857,0,9.524,-5.98,0.37,0.67
6887,-0.06,0.919,-0.019,9.572,-6.04,0.49,0.79
6927,-0.07,0.915,0.029,9.62,-5.91,0.43,0.67
6967,-0.07,0.886,-0.014,9.625,-6.04,0.18,0.67
7007,-0.07,0.891,0.024,9.61,-5.85,0.43,0.73
7047,-0.07,0.876,0.01,9.62,-5.91,0.24,0.79
7087,-0.13,0.881,-0.034,9.538,-5.91,0.3,0.79
7127,-0.07,0.895,-0.024,9.62,-6.1,0.37,0.67
7168,-0.13,0.967,0.024,9.538,-5.85,0.43,0.55
7207,-0.13,0.891,0.014,9.529,-5.98,0.49,0.73
7247,-0.24,0.891,0.072,9.548,-5.98,0.49,0.67
7287,-0.13,0.843,-0.005,9.567,-5.85,0.37,0.85
7327,-0.07,0.919,0.01,9.706,-6.16,0.55,0.73
7367,-0.02,0.881,0.024,9.582,-6.1,0.43,0.73
7407,-0.07,0.991,-0.01,9.515,-6.04,0.43,0.61
7447,0.01,0.919,-0.005,9.615,-5.85,0.3,0.61
7487,-0.07,0.862,0.014,9.615,-6.1,0.43,0.61
7527,-0.08,0.91,-0.029,9.62,-6.22,0.43,0.85
7567,-0.14,0.919,0,9.649,-6.16,0.43,0.73
7607,-0.14,0.886,0.024,9.515,-5.98,0.55,0.79
7647,-0.08,0.876,-0.048,9.577,-6.16,0.18,0.61
7687,-0.02,0.891,-0.038,9.586,-5.98,0.49,0.67
7727,-0.14,0.905,-0.019,9.601,-5.98,0.43,0.67
7767,-0.14,0.886,0.029,9.596,-5.98,0.24,0.73
7808,-0.14,0.895,0.01,9.615,-6.04,0.3,0.73
7847,-0.14,0.924,0.048,9.543,-6.1,0.3,0.79
7887,-0.08,0.862,-0.019,9.582,-5.91,0.49,0.73
7927,-0.03,0.91,-0.014,9.519,-5.98,0.37,0.73
7967,-0.04,0.848,-0.019,9.639,-6.16,0.43,0.85
8007,-0.08,0.9,0.034,9.567,-6.04,0.43,0.67
8047,-0.14,0.876,-0.024,9.591,-6.16,0.43,0.85
8087,-0.03,0.91,-0.043,9.658,-5.91,0.49,0.91
8127,-0.03,0.886,-0.034,9.577,-6.28,0.49,0.61
8167,-0.03,0.9,0.01,9.567,-6.04,0.43,0.79
8207,-0.08,0.9,-0.072,9.471,-5.98,0.3,0.67
8247,-0.2,0.91,-0.019,9.601,-5.85,0.3,0.67
8287,-0.14,0.939,-0.01,9.591,-6.1,0.37,0.61
8327,-0.31,0.871,-0.024,9.629,-6.1,0.3,0.61
8367,-0.27,0.881,0.024,9.596,-6.1,0.18,0.67
8407,-0.27,0.915,-0.005,9.577,-6.22,0.49,0.85
8448,-0.08,0.9,0.014,9.649,-6.04,0.43,0.73
8487,-0.03,0.895,0.029,9.591,-5.98,0.43,0.61
8527,-0.1,0.848,0.024,9.577,-6.04,0.37,0.67
8567,0.03,0.843,0.014,9.538,-6.1,0.3,0.73
8607,0.09,0.886,-0.019,9.677,-5.98,0.43,0.79
8647,-0.08,0.852,0.01,9.634,-6.04,0.3,0.85
8687,-0.08,0.795,0.029,9.629,-5.91,0.43,0.49
8727,-0.22,0.895,0,9.596,-6.1,0.55,0.73
8767,-0.14,0.9,-0.057,9.606,-6.1,0.55,0.67
8807,0.03,0.881,0.019,9.601,-6.1,0.37,0.73
8847,-0.16,0.915,-0.029,9.687,-6.1,0.3,0.79
8887,-0.22,0.857,0.019,9.596,-5.91,0.43,0.61
8927,-0.08,0.867,0.024,9.577,-6.04,0.3,0.61
8967,-0.22,0.943,0.029,9.62,-5.98,0.43,0.67
9007,-0.27,0.891,0.029,9.629,-6.04,0.43,0.55
9047,-0.14,0.895,0.062,9.606,-5.85,0.18,0.79
9088,-0.22,0.9,-0.034,9.629,-6.04,0.49,0.79
9127,-0.16,0.934,-0.01,9.591,-6.04,0.49,0.85
9167,-0.04,0.958,0.091,9.586,-6.1,0.43,0.73
9207,-0.1,0.857,0.01,9.591,-5.98,0.37,0.73
9247,-0.1,0.9,0.043,9.601,-5.98,0.3,0.73
9287,0.03,0.929,-0.005,9.586,-6.04,0.3,0.61
9327,-0.1,0.9,0.048,9.629,-6.04,0.43,0.73
9367,-0.1,0.9,0.038,9.5,-6.04,0.43,0.67
9407,-0.16,0.895,-0.01,9.61,-5.91,0.43,0.79
9447,-0.16,0.881,0.024,9.673,-6.22,0.37,0.79
9487,-0.16,0.886,0.024,9.476,-5.98,0.49,0.67
9527,-0.16,0.934,0.029,9.606,-6.04,0.49,0.79
9567,-0.16,0.876,0.01,9.591,-5.91,0.55,0.91
9607,-0.16,0.871,0.024,9.553,-5.91,0.3,0.73
9647,-0.16,0.915,0.014,9.582,-6.1,0.37,0.91
9687,-0.16,0.943,0.014,9.677,-6.1,0.55,0.73
9728,-0.1,0.972,-0.005,9.586,-5.79,0.24,0.73
9767,0.02,0.929,0.019,9.577,-5.91,0.43,0.73
9807,-0.04,0.895,0.038,9.51,-6.1,0.49,0.85
9847,-0.04,0.881,-0.014,9.572,-6.04,0.37,0.67
9887,-0.04,0.867,0.019,9.562,-5.98,0.43,0.67
9927,-0.04,0.91,-0.014,9.572,-6.04,0.37,0.73
9967,-0.1,0.91,0.067,9.62,-6.16,0.37,0.61
